rank	word
1.	je
2.	de
3.	est
4.	pas
5.	le
6.	vous
7.	la
8.	tu
9.	que
10.	un
11.	il
12.	et
13.	à
14.	a
15.	ne
16.	les
17.	ce
18.	en
19.	on
20.	ça
21.	une
22.	ai
23.	pour
24.	des
25.	moi
26.	qui
27.	nous
28.	y
29.	mais
30.	me
31.	dans
32.	du
33.	bien
34.	elle
35.	si
36.	tout
37.	plus
38.	non
39.	mon
40.	suis
41.	te
42.	au
43.	avec
44.	va
45.	oui
46.	toi
47.	fait
48.	ils
49.	as
50.	être
51.	faire
52.	se
53.	comme
54.	était
55.	sur
56.	quoi
57.	ici
58.	sais
59.	lui
60.	veux
61.	ma
62.	là
63.	rien
64.	dit
65.	es
66.	où
67.	votre
68.	pourquoi
69.	sont
70.	cette
71.	quand
72.	par
73.	son
74.	ton
75.	peux
76.	vais
77.	dire
78.	alors
79.	comment
80.	avez
81.	bon
82.	ou
83.	très
84.	merci
85.	ont
86.	même
87.	jamais
88.	aussi
89.	voir
90.	chose
91.	allez
92.	tous
93.	deux
94.	ces
95.	faut
96.	sa
97.	êtes
98.	été
99.	ta
100.	fais
101.	avoir
102.	peut
103.	autre
104.	m
105.	encore
106.	maintenant
107.	peu
108.	mes
109.	vraiment
110.	temps
111.	notre
112.	toujours
113.	vie
114.	sans
115.	juste
116.	oh
117.	avait
118.	accord
119.	vu
120.	monde
121.	quelque
122.	fois
123.	aller
124.	trop
125.	viens
126.	crois
127.	dieu
128.	dois
129.	homme
130.	père
131.	sûr
132.	aux
133.	leur
134.	avant
135.	étais
136.	besoin
137.	femme
138.	aime
139.	personne
140.	avais
141.	chez
142.	vrai
143.	ans
144.	mal
145.	ses
146.	parler
147.	vos
148.	après
149.	mort
150.	veut
151.	eu
152.	sera
153.	bonne
154.	parce
155.	mieux
156.	petit
157.	voilà
158.	tes
159.	ca
160.	dis
161.	beaucoup
162.	depuis
163.	doit
164.	vois
165.	mère
166.	vas
167.	monsieur
168.	quel
169.	déjà
170.	fille
171.	gens
172.	donc
173.	jour
174.	soir
175.	autres
177.	toute
178.	bonjour
180.	maison
181.	nom
182.	argent
183.	nos
184.	ouais
185.	pense
186.	merde
187.	nuit
188.	papa
189.	cela
190.	salut
191.	cet
192.	avons
193.	reste
194.	désolé
195.	maman
196.	peur
197.	arrive
198.	seul
199.	vite
200.	prendre
201.	regarde
202.	air
203.	soit
204.	trois
205.	quelle
206.	passé
207.	savoir
208.	plaît
209.	choses
210.	moins
211.	fils
212.	entre
