"","id","source","FV","H","Book","X1770","X1774","X1780","red_pencil_PD","ink_melanges","Paral..to..Observations.","Paral..to..Supplément.","working_notes","n_word","Notes","other"
"1","1","V-FP_T1 L1","yes","yes","L1","not appeared","not appeared","appeared","yes","no","","","","414","Note: All files which appear in FV AND H can be found in both files (of course) - I only list the V-FP-Files for better overview",""
"2","2","V-FP_T1 L1","yes","yes","L1","not appeared","not appeared","appeared","yes","no","","","","79","Duchet P.D. p. 11 // Goggi P.D. p. 11-12 (Information of the exact pages is only given when Duchet and Goggi did not refer exactly to the 
same pages (like in this example))",""
"3","3","V-FP_T1 L1","yes","yes","L1","not appeared","not appeared","appeared","no","yes","","","yes","531","Duchet: Mélanges + Correspondance Littéraire, nov 1778",""
"4","4","V-FP_T1 L1","no","yes","L1","n/a","n/a","n/a","no","no","","","","213","Everything which is marked in yellow has the following characteristics:
-it is marked in the exemplaire Hornoy but does not appear in the Fonds Vandeul
-Goggi put it into his ""Liste"" and marked it with an Asterix* to show that he attributes this passage to Diderot. His argumentation in these
cases is solely based on style- or topic related argumentation",""
"5","5","V-FP_T1 L1","yes","yes","L1","appeared","changed","changed","no","no","yes","yes ","yes (Goggi says
FP VIII (see
notes)","1656","In Duchet Fragments 5,6 and 7 (by Goggi) appear as one. They were reworked (changed) two times since 1770. The Text was extended
every time: 1770: 12 pages, 1774: 22 pages, 1780: 37 pages.
Duchet gives some examples in which passages of the Supplément or Observations ""ou on reconnaît sa (Diderot) plume"": 
Supplément: p. 201, 245, 217 // Observations: p. 370-371.
When examining Goggi's ""Liste"" we find some more information (I am referring to §7-108 in chap. 8 of L1): FI. 19-44 // §31 ""usages 
bizarres"": Supplément (DPV), p. 583 // §40-41 ""adultère"": Observations (OP) p. 373 // §41 ""condition animale de l'homme"": FP VIII //
... (the list goes on. For further information take a look into the critical edition p.752 (Goggi's Liste).",""
"6","6","V-FP_T1 L1","yes","yes","L1","appeared","changed","changed","no","no","yes","yes ","","7304","",""
"7","7","V-FP_T1 L1","yes","yes","L1","appeared","changed","changed","no","no","yes","yes","","467","",""
"8","8","V-FP_T1 L1","yes","yes","L1","appeared","not changed","not changed","yes","no","","","","319","Duchet: P.D. 84-86 // Goggi: P.D. 84-85 (seulement le §3) // I deleted everything after ""[...] L'homme est né libre?"". This can only be found 
in the H-FP-Version now",""
"9","9 A","V-FP_T1 L1","yes","no","L1","not appeared","appeared","changed","yes","no","yes ","","yes","150","Goggi: Observations p. 344 and 397 and Art. ""Grecs"" and ""Vingtième"" in the Encycl. // Goggi and Duchet: P.D. p. 78-79 (Goggi aussi
le §1)  // so here I added the §1 of this chapter to V-FP (which is not marked in Exemplaire Hornoy) ",""
"10","9 B","H-FP_T1 L1","yes","yes","L1","not appeared","appeared","changed","yes","no","yes ","","yes","127","Fragment divided into two parts: first the part that appears in V, second the part that appears in Hornoy (comment by Cassandra)",""
"11","10","H-FP_T1 L1","no","yes","L1","n/a","n/a","n/a","no","no","","","","177","",""
"12","11","H-FP_T1 L1","no","yes","L1","n/a","n/a","n/a","no","no","","","","233","",""
"13","12","V-FP_T1 L1","yes","yes","L1","not appeared","appeared","changed","no","yes","","","","1404","",""
"14","13 A","V-FP_T1 L1","yes","no","L1","appeared","changed","not changed","yes","no","no","yes (says Duch)","","1133","Goggi: P.D. p. 36-42 (aussi les §5 et §6) - I added these two §(5 and 6) to the FV but not to H-FP",""
"15","13 B","H-FP_T1 L1","yes","yes","L1","appeared","changed","not changed","yes","no","no","yes (says Duch)","","154","Fragment divided into two parts: first the part that appears in V, second the part that appears in Hornoy (comment by Cassandra)",""
"16","14","V-FP_T1 L1","no","yes","L1","n/a","n/a","n/a","no","no","","","","344","In Goggi's ""Liste"" no. 12 (with Asterix*)",""
"17","15","V-FP_T1 L1","no","yes","L1","n/a","n/a","n/a","no","no","","","","196","In Goggi's ""Liste"" no. 13 (with Asterix*)",""
"18","16","V-FP_T1 L1","no","yes","L1","n/a","n/a","n/a","no","no","","","","65","Not in the FV but Goggi asks to check H2010, T1, p. 137 note 574 ",""
"19","17","V-FP_T1 L1","yes","yes","L1","not appeared","not appeared","appeared","yes","yes","","","","282","Note from Damien: 2 passages appear not to be in Duchet which appear in our file",""
"20","18","H-FP_T1 L2","no","yes","L2","n/a","n/a","n/a","no","no","","","","65","",""
"21","19","H-FP_T1 L2","no","yes","L2","n/a","n/a","n/a","no","no","","","","346","In Goggi's ""Liste"" no. 21 (with Asterix*) - but not in FV",""
"22","20","V-FP_T1 L2","yes","yes","L2","not appeared","not appeared","appeared","no","no","yes","no","","366","Duchet: Observations p. 428 + Salon de 1769 (O.C. VIII, 458-459) // Goggi: V4, p.92-94 (seulement les §4-5, mais le §3 marqué au crayon
rouge dans FI a été biffé par des traits de plume par Vandeul, voir Observations p. 428) - I did NOT delete §3 based on the information we 
got here from Goggi",""
"23","21","V-FP_T1 L2","yes","yes","L2","not appeared","appeared","changed","yes","no","no","yes (says Duch)","","1267","Duchet: P.D. 138-143 + Supplément p. 205-207",""
"24","22","H-FP_T1 L2","no","yes","L2","n/a","n/a","n/a","no","no","","","","86","",""
"25","23","V-FP_T1 L2","yes","yes","L2","not appeared","appeared","changed","yes","yes","","","","274","Duchet: P.D. 379-380 + Mél // Goggi: P.D. 378-379 + Mél p. 299-301 (aussi une partie de §7) // It is not written which ""partie"". Therefore
I did not add any ""partie de §7"".",""
"26","24 A","V-FP_T1 L2","yes","yes","L2","not appeared","not appeared","appeared","yes","yes","","","","318","Livre II, ch 22, paragraph 10. Goggi: P.D. p. 380-381 (Duchet too) + Mél 303-305 (aussi le §9) // I added §9 to the V-FP Corpus",""
"27","25","V-FP_T1 L2","yes","yes","L2","appeared","not changed","changed","yes","yes","","","","321","Goggi: P.D. p. 380-381, Mél 303-305 (same as fragm. 24?) // Duchet: P.D. 376-379 (Why is there a difference concerning the pages
Duchet (F.13-D) and Goggi are refering to in the P.D.? Both refer to chap. 25 within the HDI - here one has to look into the text I think)
Goggi: aussi le §10, mais dans FI, f.231, le §10 est marqué à la plume, alors que le rest l'est au crayon rouge // I did not add/delete
anything here because I am not sure",""
