Source,Target,Weight,Type
Baudeau_1,Baudeau_2,6,undirected
Baudeau_1,dHolbach_1,3,undirected
Baudeau_1,dHolbach_2,3,undirected
Baudeau_1,Guibert_1,1,undirected
Baudeau_1,Guibert_2,1,undirected
Baudeau_2,Baudeau_1,6,undirected
Baudeau_2,dHolbach_1,4,undirected
Baudeau_2,dHolbach_2,1,undirected
Baudeau_2,Guibert_1,2,undirected
Baudeau_2,Guibert_2,2,undirected
Chastellux_1,Chastellux_2,6,undirected
Chastellux_1,La Grange_1,2,undirected
Chastellux_1,Morellet_1,1,undirected
Chastellux_1,Morellet_2,1,undirected
Chastellux_2,Chastellux_1,6,undirected
Chastellux_2,La Grange_1,2,undirected
Chastellux_2,Raynal_2,2,undirected
Condorcet_1,Condorcet_2,6,undirected
Condorcet_1,Rivière_2,1,undirected
Condorcet_1,Saint-Lambert_1,2,undirected
Condorcet_2,Condorcet_1,6,undirected
Condorcet_2,Saint-Lambert_1,2,undirected
Condorcet_2,Saint-Lambert_2,1,undirected
Deleyre_1,Deleyre_2,6,undirected
Deleyre_1,Jussieu_1,3,undirected
Deleyre_1,Jussieu_2,1,undirected
Deleyre_2,Deleyre_1,6,undirected
Deleyre_2,Jussieu_1,4,undirected
Deleyre_2,Jussieu_2,2,undirected
dHolbach_1,Baudeau_1,3,undirected
dHolbach_1,Baudeau_2,4,undirected
dHolbach_1,dHolbach_2,6,undirected
dHolbach_1,Rivière_2,1,undirected
dHolbach_1,Saint-Lambert_1,2,undirected
dHolbach_1,Saint-Lambert_2,2,undirected
dHolbach_2,Baudeau_1,3,undirected
dHolbach_2,Baudeau_2,1,undirected
dHolbach_2,dHolbach_1,6,undirected
dHolbach_2,Saint-Lambert_1,1,undirected
dHolbach_2,Saint-Lambert_2,2,undirected
Diderot_1,Diderot_2,6,undirected
Diderot_1,Jaucourt_2,1,undirected
Diderot_1,Marmontel_1,4,undirected
Diderot_1,Marmontel_2,3,undirected
Diderot_2,Diderot_1,6,undirected
Diderot_2,Marmontel_1,3,undirected
Diderot_2,Marmontel_2,2,undirected
Guibert_1,Baudeau_1,1,undirected
Guibert_1,Baudeau_2,2,undirected
Guibert_1,Guibert_2,6,undirected
Guibert_2,Baudeau_1,1,undirected
Guibert_2,Baudeau_2,2,undirected
Guibert_2,Guibert_1,6,undirected
Jaucourt_1,Jaucourt_2,6,undirected
Jaucourt_1,Marmontel_1,1,undirected
Jaucourt_1,Marmontel_2,2,undirected
Jaucourt_2,Diderot_1,1,undirected
Jaucourt_2,Jaucourt_1,6,undirected
Jaucourt_2,Raynal_2,2,undirected
Jussieu_1,Deleyre_1,3,undirected
Jussieu_1,Deleyre_2,4,undirected
Jussieu_1,Jussieu_2,6,undirected
Jussieu_2,Deleyre_1,1,undirected
Jussieu_2,Deleyre_2,2,undirected
Jussieu_2,Jussieu_1,6,undirected
Jussieu_2,Saint-Lambert_2,2,undirected
La Grange_1,Chastellux_1,2,undirected
La Grange_1,Chastellux_2,2,undirected
La Grange_1,La Grange_2,6,undirected
La Grange_1,Pechmeja_1,3,undirected
La Grange_2,La Grange_1,6,undirected
La Grange_2,Pechmeja_1,2,undirected
La Grange_2,Pechmeja_2,1,undirected
Marmontel_1,Diderot_1,4,undirected
Marmontel_1,Diderot_2,3,undirected
Marmontel_1,Jaucourt_1,1,undirected
Marmontel_1,Marmontel_2,6,undirected
Marmontel_1,Meister_2,1,undirected
Marmontel_2,Diderot_1,3,undirected
Marmontel_2,Diderot_2,2,undirected
Marmontel_2,Jaucourt_1,2,undirected
Marmontel_2,Marmontel_1,6,undirected
Meister_1,Meister_2,6,undirected
Meister_1,Naigeon_1,3,undirected
Meister_1,Naigeon_2,4,undirected
Meister_2,Marmontel_1,1,undirected
Meister_2,Meister_1,6,undirected
Meister_2,Naigeon_1,1,undirected
Meister_2,Naigeon_2,3,undirected
Morellet_1,Chastellux_1,1,undirected
Morellet_1,Morellet_2,6,undirected
Morellet_1,Naigeon_1,2,undirected
Morellet_1,Rivière_1,1,undirected
Morellet_2,Chastellux_1,1,undirected
Morellet_2,Morellet_1,6,undirected
Morellet_2,Rivière_1,4,undirected
Morellet_2,Rivière_2,3,undirected
Naigeon_1,Meister_1,3,undirected
Naigeon_1,Meister_2,1,undirected
Naigeon_1,Morellet_1,2,undirected
Naigeon_1,Naigeon_2,6,undirected
Naigeon_2,Meister_1,4,undirected
Naigeon_2,Meister_2,3,undirected
Naigeon_2,Naigeon_1,6,undirected
Pechmeja_1,La Grange_1,3,undirected
Pechmeja_1,La Grange_2,2,undirected
Pechmeja_1,Pechmeja_2,6,undirected
Pechmeja_1,Raynal_1,4,undirected
Pechmeja_1,Raynal_2,2,undirected
Pechmeja_2,La Grange_2,1,undirected
Pechmeja_2,Pechmeja_1,6,undirected
Pechmeja_2,Raynal_1,3,undirected
Pechmeja_2,Raynal_2,2,undirected
Raynal_1,Pechmeja_1,4,undirected
Raynal_1,Pechmeja_2,3,undirected
Raynal_1,Raynal_2,6,undirected
Raynal_2,Chastellux_2,2,undirected
Raynal_2,Jaucourt_2,2,undirected
Raynal_2,Pechmeja_1,2,undirected
Raynal_2,Pechmeja_2,2,undirected
Raynal_2,Raynal_1,6,undirected
Rivière_1,Morellet_1,1,undirected
Rivière_1,Morellet_2,4,undirected
Rivière_1,Rivière_2,6,undirected
Rivière_2,Condorcet_1,1,undirected
Rivière_2,dHolbach_1,1,undirected
Rivière_2,Morellet_2,3,undirected
Rivière_2,Rivière_1,6,undirected
Saint-Lambert_1,Condorcet_1,2,undirected
Saint-Lambert_1,Condorcet_2,2,undirected
Saint-Lambert_1,dHolbach_1,2,undirected
Saint-Lambert_1,dHolbach_2,1,undirected
Saint-Lambert_1,Saint-Lambert_2,6,undirected
Saint-Lambert_2,Condorcet_2,1,undirected
Saint-Lambert_2,dHolbach_1,2,undirected
Saint-Lambert_2,dHolbach_2,2,undirected
Saint-Lambert_2,Jussieu_2,2,undirected
Saint-Lambert_2,Saint-Lambert_1,6,undirected
