Source,Target,Weight,Type
Baudeau_1,Baudeau_2,2990,undirected
Baudeau_1,dHolbach_1,858,undirected
Baudeau_1,dHolbach_2,681,undirected
Baudeau_1,Guibert_1,17,undirected
Baudeau_1,Guibert_2,50,undirected
Baudeau_1,Jussieu_1,1113,undirected
Baudeau_1,Jussieu_2,524,undirected
Baudeau_1,Pechmeja_1,14,undirected
Baudeau_1,Pechmeja_2,6,undirected
Baudeau_1,Saint-Lambert_1,18,undirected
Baudeau_2,Baudeau_1,2990,undirected
Baudeau_2,dHolbach_1,909,undirected
Baudeau_2,dHolbach_2,973,undirected
Baudeau_2,Guibert_1,5,undirected
Baudeau_2,Jussieu_1,199,undirected
Baudeau_2,Jussieu_2,247,undirected
Baudeau_2,Pechmeja_2,4,undirected
Baudeau_2,Saint-Lambert_2,33,undirected
Chastellux_1,Chastellux_2,2901,undirected
Chastellux_1,Condorcet_2,1,undirected
Chastellux_1,Deleyre_1,8,undirected
Chastellux_1,Deleyre_2,18,undirected
Chastellux_1,Guibert_1,4,undirected
Chastellux_1,La Grange_1,16,undirected
Chastellux_1,La Grange_2,20,undirected
Chastellux_1,Morellet_1,16,undirected
Chastellux_1,Morellet_2,13,undirected
Chastellux_1,Naigeon_1,11,undirected
Chastellux_1,Naigeon_2,9,undirected
Chastellux_1,Pechmeja_1,55,undirected
Chastellux_1,Pechmeja_2,722,undirected
Chastellux_1,Raynal_1,1089,undirected
Chastellux_1,Raynal_2,1122,undirected
Chastellux_2,Chastellux_1,2901,undirected
Chastellux_2,Deleyre_1,233,undirected
Chastellux_2,Deleyre_2,16,undirected
Chastellux_2,Guibert_2,1,undirected
Chastellux_2,Jaucourt_1,241,undirected
Chastellux_2,Jaucourt_2,2,undirected
Chastellux_2,La Grange_1,50,undirected
Chastellux_2,La Grange_2,50,undirected
Chastellux_2,Marmontel_1,1,undirected
Chastellux_2,Morellet_2,2,undirected
Chastellux_2,Naigeon_2,12,undirected
Chastellux_2,Raynal_1,1247,undirected
Chastellux_2,Raynal_2,47,undirected
Chastellux_2,Rivière_1,6,undirected
Chastellux_2,Rivière_2,2,undirected
Condorcet_1,Condorcet_2,2981,undirected
Condorcet_1,Deleyre_1,19,undirected
Condorcet_1,Deleyre_2,1,undirected
Condorcet_1,Diderot_1,21,undirected
Condorcet_1,FP_1,29,undirected
Condorcet_1,FP_2,12,undirected
Condorcet_1,Guibert_1,87,undirected
Condorcet_1,Guibert_2,325,undirected
Condorcet_1,Marmontel_1,1,undirected
Condorcet_1,Marmontel_2,4,undirected
Condorcet_1,Meister_1,15,undirected
Condorcet_1,Meister_2,35,undirected
Condorcet_1,Morellet_1,1119,undirected
Condorcet_1,Morellet_2,274,undirected
Condorcet_1,Rivière_1,582,undirected
Condorcet_1,Rivière_2,97,undirected
Condorcet_2,Chastellux_1,1,undirected
Condorcet_2,Condorcet_1,2981,undirected
Condorcet_2,Deleyre_1,213,undirected
Condorcet_2,Deleyre_2,91,undirected
Condorcet_2,FP_1,89,undirected
Condorcet_2,FP_2,310,undirected
Condorcet_2,Guibert_2,3,undirected
Condorcet_2,La Grange_2,2,undirected
Condorcet_2,Morellet_1,19,undirected
Condorcet_2,Raynal_1,6,undirected
Condorcet_2,Raynal_2,1,undirected
Condorcet_2,Rivière_1,921,undirected
Condorcet_2,Rivière_2,1425,undirected
Deleyre_1,Chastellux_1,8,undirected
Deleyre_1,Chastellux_2,233,undirected
Deleyre_1,Condorcet_1,19,undirected
Deleyre_1,Condorcet_2,213,undirected
Deleyre_1,Deleyre_2,2939,undirected
Deleyre_1,FP_1,19,undirected
Deleyre_1,FP_2,21,undirected
Deleyre_1,Guibert_1,4,undirected
Deleyre_1,Guibert_2,7,undirected
Deleyre_1,Jaucourt_2,133,undirected
Deleyre_1,Jussieu_2,15,undirected
Deleyre_1,La Grange_2,74,undirected
Deleyre_1,Pechmeja_1,132,undirected
Deleyre_1,Pechmeja_2,150,undirected
Deleyre_1,Raynal_1,1500,undirected
Deleyre_1,Raynal_2,1048,undirected
Deleyre_1,Saint-Lambert_1,42,undirected
Deleyre_1,Saint-Lambert_2,15,undirected
Deleyre_2,Chastellux_1,18,undirected
Deleyre_2,Chastellux_2,16,undirected
Deleyre_2,Condorcet_1,1,undirected
Deleyre_2,Condorcet_2,91,undirected
Deleyre_2,Deleyre_1,2939,undirected
Deleyre_2,Diderot_1,5,undirected
Deleyre_2,Diderot_2,10,undirected
Deleyre_2,Jussieu_1,2,undirected
Deleyre_2,Jussieu_2,23,undirected
Deleyre_2,La Grange_1,155,undirected
Deleyre_2,La Grange_2,370,undirected
Deleyre_2,Naigeon_1,16,undirected
Deleyre_2,Raynal_1,992,undirected
Deleyre_2,Raynal_2,605,undirected
dHolbach_1,Baudeau_1,858,undirected
dHolbach_1,Baudeau_2,909,undirected
dHolbach_1,dHolbach_2,2991,undirected
dHolbach_1,FP_1,3,undirected
dHolbach_1,FP_2,4,undirected
dHolbach_1,Jussieu_1,5,undirected
dHolbach_1,Jussieu_2,64,undirected
dHolbach_1,Rivière_1,9,undirected
dHolbach_1,Saint-Lambert_1,774,undirected
dHolbach_1,Saint-Lambert_2,1476,undirected
dHolbach_2,Baudeau_1,681,undirected
dHolbach_2,Baudeau_2,973,undirected
dHolbach_2,dHolbach_1,2991,undirected
dHolbach_2,FP_2,1,undirected
dHolbach_2,Jussieu_2,12,undirected
dHolbach_2,Pechmeja_1,9,undirected
dHolbach_2,Rivière_2,9,undirected
dHolbach_2,Saint-Lambert_1,1387,undirected
dHolbach_2,Saint-Lambert_2,1153,undirected
Diderot_1,Condorcet_1,21,undirected
Diderot_1,Deleyre_2,5,undirected
Diderot_1,Diderot_2,2974,undirected
Diderot_1,FP_1,461,undirected
Diderot_1,FP_2,362,undirected
Diderot_1,Guibert_1,45,undirected
Diderot_1,Guibert_2,11,undirected
Diderot_1,Jaucourt_1,11,undirected
Diderot_1,Jaucourt_2,33,undirected
Diderot_1,Marmontel_1,1981,undirected
Diderot_1,Marmontel_2,904,undirected
Diderot_1,Meister_1,54,undirected
Diderot_1,Meister_2,39,undirected
Diderot_1,Morellet_1,3,undirected
Diderot_1,Naigeon_1,178,undirected
Diderot_1,Naigeon_2,1162,undirected
Diderot_2,Deleyre_2,10,undirected
Diderot_2,Diderot_1,2974,undirected
Diderot_2,FP_1,1282,undirected
Diderot_2,FP_2,839,undirected
Diderot_2,Jaucourt_1,8,undirected
Diderot_2,Marmontel_1,1286,undirected
Diderot_2,Marmontel_2,1084,undirected
Diderot_2,Meister_1,5,undirected
Diderot_2,Meister_2,25,undirected
Diderot_2,Morellet_1,4,undirected
Diderot_2,Naigeon_1,61,undirected
Diderot_2,Naigeon_2,454,undirected
FP_1,Condorcet_1,29,undirected
FP_1,Condorcet_2,89,undirected
FP_1,Deleyre_1,19,undirected
FP_1,dHolbach_1,3,undirected
FP_1,Diderot_1,461,undirected
FP_1,Diderot_2,1282,undirected
FP_1,FP_2,2994,undirected
FP_1,Guibert_1,1,undirected
FP_1,Marmontel_1,22,undirected
FP_1,Marmontel_2,11,undirected
FP_1,Naigeon_2,2,undirected
FP_1,Saint-Lambert_2,1,undirected
FP_2,Condorcet_1,12,undirected
FP_2,Condorcet_2,310,undirected
FP_2,Deleyre_1,21,undirected
FP_2,dHolbach_1,4,undirected
FP_2,dHolbach_2,1,undirected
FP_2,Diderot_1,362,undirected
FP_2,Diderot_2,839,undirected
FP_2,FP_1,2994,undirected
FP_2,Guibert_1,1,undirected
FP_2,Jussieu_1,9,undirected
FP_2,Jussieu_2,8,undirected
FP_2,Marmontel_1,16,undirected
FP_2,Marmontel_2,10,undirected
FP_2,Meister_1,52,undirected
FP_2,Meister_2,54,undirected
FP_2,Naigeon_2,2,undirected
FP_2,Saint-Lambert_1,2,undirected
FP_2,Saint-Lambert_2,7,undirected
Guibert_1,Baudeau_1,17,undirected
Guibert_1,Baudeau_2,5,undirected
Guibert_1,Chastellux_1,4,undirected
Guibert_1,Condorcet_1,87,undirected
Guibert_1,Deleyre_1,4,undirected
Guibert_1,Diderot_1,45,undirected
Guibert_1,FP_1,1,undirected
Guibert_1,FP_2,1,undirected
Guibert_1,Guibert_2,2976,undirected
Guibert_1,Jussieu_1,457,undirected
Guibert_1,Jussieu_2,1697,undirected
Guibert_1,Marmontel_1,22,undirected
Guibert_1,Meister_1,4,undirected
Guibert_1,Meister_2,3,undirected
Guibert_1,Morellet_1,61,undirected
Guibert_1,Morellet_2,3,undirected
Guibert_1,Naigeon_2,10,undirected
Guibert_1,Raynal_2,26,undirected
Guibert_2,Baudeau_1,50,undirected
Guibert_2,Chastellux_2,1,undirected
Guibert_2,Condorcet_1,325,undirected
Guibert_2,Condorcet_2,3,undirected
Guibert_2,Deleyre_1,7,undirected
Guibert_2,Diderot_1,11,undirected
Guibert_2,Guibert_1,2976,undirected
Guibert_2,Jussieu_1,1063,undirected
Guibert_2,Jussieu_2,610,undirected
Guibert_2,Marmontel_1,3,undirected
Guibert_2,Marmontel_2,2,undirected
Guibert_2,Meister_1,29,undirected
Guibert_2,Meister_2,10,undirected
Guibert_2,Morellet_1,84,undirected
Guibert_2,Morellet_2,40,undirected
Jaucourt_1,Chastellux_2,241,undirected
Jaucourt_1,Diderot_1,11,undirected
Jaucourt_1,Diderot_2,8,undirected
Jaucourt_1,Jaucourt_2,2990,undirected
Jaucourt_1,La Grange_1,609,undirected
Jaucourt_1,La Grange_2,1094,undirected
Jaucourt_1,Marmontel_2,8,undirected
Jaucourt_1,Naigeon_1,57,undirected
Jaucourt_1,Naigeon_2,522,undirected
Jaucourt_1,Raynal_1,257,undirected
Jaucourt_1,Rivière_1,1,undirected
Jaucourt_1,Rivière_2,9,undirected
Jaucourt_2,Chastellux_2,2,undirected
Jaucourt_2,Deleyre_1,133,undirected
Jaucourt_2,Diderot_1,33,undirected
Jaucourt_2,Jaucourt_1,2990,undirected
Jaucourt_2,La Grange_1,917,undirected
Jaucourt_2,La Grange_2,616,undirected
Jaucourt_2,Marmontel_2,52,undirected
Jaucourt_2,Meister_2,7,undirected
Jaucourt_2,Naigeon_1,188,undirected
Jaucourt_2,Naigeon_2,396,undirected
Jaucourt_2,Raynal_1,110,undirected
Jaucourt_2,Raynal_2,18,undirected
Jaucourt_2,Rivière_1,4,undirected
Jaucourt_2,Rivière_2,12,undirected
Jussieu_1,Baudeau_1,1113,undirected
Jussieu_1,Baudeau_2,199,undirected
Jussieu_1,Deleyre_2,2,undirected
Jussieu_1,dHolbach_1,5,undirected
Jussieu_1,FP_2,9,undirected
Jussieu_1,Guibert_1,457,undirected
Jussieu_1,Guibert_2,1063,undirected
Jussieu_1,Jussieu_2,2985,undirected
Jussieu_1,Morellet_2,5,undirected
Jussieu_1,Pechmeja_1,38,undirected
Jussieu_1,Pechmeja_2,12,undirected
Jussieu_1,Raynal_2,2,undirected
Jussieu_1,Saint-Lambert_1,1,undirected
Jussieu_2,Baudeau_1,524,undirected
Jussieu_2,Baudeau_2,247,undirected
Jussieu_2,Deleyre_1,15,undirected
Jussieu_2,Deleyre_2,23,undirected
Jussieu_2,dHolbach_1,64,undirected
