"Baudeau_1" "Baudeau_2" "Chastellux_1" "Chastellux_2" "Condorcet_1" "Condorcet_2" "Deleyre_1" "Deleyre_2" "dHolbach_1" "dHolbach_2" "Diderot_1" "Diderot_2" "Guibert_1" "Guibert_2" "Jaucourt_1" "Jaucourt_2" "Jussieu_1" "Jussieu_2" "La Grange_1" "La Grange_2" "Marmontel_1" "Marmontel_2" "Meister_1" "Meister_2" "Morellet_1" "Morellet_2" "Naigeon_1" "Naigeon_2" "Pechmeja_1" "Pechmeja_2" "Raynal_1" "Raynal_2" "Rivière_1" "Rivière_2" "Saint-Lambert_1" "Saint-Lambert_2"
"  d e  " 0.730328001292616 0.697606821044472 0.657439446366782 0.663094224071938 0.65359477124183 0.71460906680463 0.720312821568224 0.739851380731414 0.635540641151526 0.614197663893798 0.671503800862899 0.708537060274328 0.771443655522394 0.749204980326632 0.718951430357643 0.731225935872133 0.570213588479753 0.608865598556763 0.44006886163116 0.424457339350956 0.678138418109649 0.661964659104452 0.694166621614316 0.689617841290462 0.699315792881656 0.690294885346334 0.565747912249578 0.582440186207643 0.64613559139205 0.571650871524438 0.749083912531212 0.702626743054805 0.66468446340465 0.622308354866494 0.642099687597963 0.605071798251775
"  e s  " 0.5008886734529 0.532894099408972 0.423875432525952 0.397856534443163 0.426022994456308 0.417124749401798 0.561085776800511 0.456458015597452 0.560009495344044 0.533382181802509 0.392521545431936 0.434857859893557 0.412657709588096 0.443055031531289 0.403130187336969 0.446500792700683 0.578804377006754 0.594905717108372 0.334624488917581 0.337416720395444 0.366649001178901 0.333690859253963 0.367627182786398 0.404893363646205 0.424122078090264 0.423884203032983 0.396997100947601 0.403810761069611 0.425004045089262 0.427927684543814 0.328602466680358 0.351313371527402 0.417986340034042 0.46619293712317 0.499410868131749 0.486218409309462
"  l e  " 0.463187375451069 0.441387031833694 0.410899653979239 0.423733382211824 0.426022994456308 0.455927051671733 0.467932539725523 0.445641474943484 0.449949825738856 0.431015904486876 0.427123995717947 0.427285708104366 0.370637733938134 0.39562334932356 0.414986957552763 0.404439123823082 0.42417018352072 0.476783643314291 0.309877340219496 0.324521813883516 0.452092278739766 0.528704997779006 0.435746337243877 0.436288838367435 0.362608188901599 0.405548245140971 0.406732724676561 0.376745696654758 0.39587940240548 0.429008310009834 0.47560883335315 0.511296076099881 0.401827074311077 0.398363479758829 0.426985482493595 0.442998995148621
"  l a  " 0.333925782301934 0.308970922283586 0.266003460207612 0.291114537397436 0.386117043076857 0.331975252753886 0.401858732032799 0.424008393635547 0.324783926972172 0.320029309081505 0.413066750289255 0.416468348405521 0.354476204841994 0.350347652670727 0.365404100286718 0.372083993917236 0.307120689840319 0.297452858554186 0.26791478373144 0.251450676982592 0.386117089737073 0.347775213702993 0.331945720927718 0.36158926058244 0.329153266711273 0.332204413572923 0.372117173640258 0.373497888924976 0.318213688582061 0.326348890737959 0.282122512511755 0.31564155226462 0.30163962682869 0.301464254952627 0.337264482374688 0.291731045585677
"  e t  " 0.375935800075403 0.37356414645437 0.307093425605536 0.269550497590219 0.267477728164973 0.259759856862618 0.226384029635728 0.189289461444441 0.265438026694865 0.259687082453343 0.30060878685972 0.339665094543724 0.406193097949641 0.360049587667763 0.315821243020674 0.294431682143204 0.296382204181566 0.33933250289936 0.348612007746934 0.316999785084891 0.419645464476146 0.385694629527307 0.245445207330919 0.260907220959186 0.302173490751333 0.273960782621826 0.255289688892735 0.296633105986792 0.297718569656437 0.346880774592334 0.297255520845719 0.285374554102259 0.265011957856635 0.296080964685616 0.316725940178793 0.314421238020119
"  q u  " 0.243442667097539 0.256219789210778 0.280060553633218 0.311600375214293 0.281498738109105 0.260837698592339 0.262128876420316 0.26392359195682 0.315072779654067 0.294168354812293 0.306015419716909 0.278006144260309 0.242422936442093 0.229612461596507 0.343846336258003 0.278254117190281 0.193292741857543 0.206176710622396 0.256079190875834 0.238555770470664 0.272553239814404 0.251351556321167 0.323295669568038 0.306376529176139 0.289223198290561 0.294453912030546 0.362381549911298 0.333441593590993 0.239469284288873 0.24422135532046 0.296174591679007 0.289698410982596 0.385667808588111 0.334840654608096 0.285377638932428 0.287409104169593
"l e s  " 0.309150643615016 0.293899169977069 0.242214532871972 0.250142861763723 0.289048512694407 0.28993942529479 0.318454089535425 0.377497268823485 0.388445892724193 0.350200422395586 0.233566539430573 0.22500108173597 0.253197289172853 0.257640273810165 0.268394162157501 0.268547578218527 0.352222329607079 0.321077273313002 0.210888745427157 0.223511712873415 0.208741171762619 0.191763902882959 0.204357463372439 0.188372848327379 0.28058966998338 0.281510882930302 0.208775042187703 0.220850925625203 0.25133487945634 0.260430737310755 0.243209062510134 0.243216949518971 0.257470967185918 0.253014642549526 0.309159108843464 0.332789489038476
"e   e  " 0.228362147896806 0.20885142481887 0.250865051903114 0.24690825579264 0.203843913803145 0.233891655349329 0.246964395966248 0.235800586256503 0.224435404685089 0.243523986035085 0.277900928859525 0.305049543507421 0.285520347365132 0.284590093246375 0.242524845323043 0.259919543576967 0.201883530384545 0.207250547656888 0.210888745427157 0.171932086825704 0.316897219308018 0.301188502833122 0.286532951289398 0.27498105445491 0.238501219485873 0.237288866837802 0.27584267232054 0.283641875067663 0.244862736637722 0.252866359048617 0.239966275009999 0.228083450437791 0.247775407752138 0.250861326442722 0.263758120831487 0.235545807176584
"e n t  " 0.262831906069909 0.270214987781115 0.228157439446367 0.259846679676971 0.246985482862012 0.243592230916812 0.255629813368573 0.277985094806979 0.280544255856361 0.280160337916469 0.204370722001752 0.197957682488858 0.240268065895941 0.231768447151404 0.2231228576972 0.230799926661706 0.252354412980681 0.226579614277737 0.207660856466538 0.272942187835805 0.196844006532625 0.217765788019631 0.246526463750879 0.231676951391144 0.219075780794716 0.204931294087193 0.249881009043313 0.239255169427303 0.232997141470255 0.213963842271907 0.230237912509593 0.259431412820236 0.351194708379118 0.283161068044789 0.221600060534651 0.2312238657605
"  l e s" 0.272526525556094 0.260526004155497 0.208693771626298 0.228578821956505 0.249142561314955 0.256526331673457 0.284875597101418 0.329904489946025 0.316151796022746 0.309253911469333 0.191394803144498 0.195794210549089 0.214409619342118 0.223144504931817 0.218811304891457 0.23619244831268 0.28886526422044 0.250204029036553 0.173230040886593 0.205243928648184 0.199007127483533 0.176596136553233 0.174082283613559 0.16239038648912 0.234184455332283 0.241603209871217 0.182813378910476 0.194868463786944 0.231918451000485 0.232334475194242 0.214023975008918 0.214030915576694 0.227307004503049 0.231481481481481 0.283215687122334 0.289570074877635
"e   s  " 0.239133947325901 0.241148036904262 0.214100346020761 0.203780176178205 0.251299639767898 0.226346763241286 0.219884966583984 0.215249159013964 0.264359010326187 0.251066764363605 0.290876847716779 0.260698368742157 0.251042418626701 0.232846439928852 0.205876646474228 0.224328900680536 0.217991258872674 0.217988918001804 0.152786744136002 0.175155813453686 0.26065607458441 0.254601791963251 0.255176515110558 0.223016130778391 0.191016813796378 0.215717151670729 0.220674137856432 0.237089964274115 0.202793808316704 0.20099633667967 0.199971895841665 0.188087774294671 0.20791588563549 0.241171403962102 0.268082024451675 0.251753087486899
"q u e  " 0.198201109495341 0.191626565039994 0.216262975778547 0.27170690157094 0.204922453029617 0.192933669619953 0.15381115889126 0.167656380136505 0.206092126417558 0.19934485582518 0.223834600287633 0.221755873826316 0.203635266611358 0.226378483264162 0.24575850992735 0.210308344388003 0.17825886193529 0.170740088484172 0.238863783085862 0.254674403610574 0.229290820796245 0.231850142468662 0.222738822511759 0.201364079246509 0.244976365716259 0.238367452596156 0.276924408290424 0.283641875067663 0.177983927512 0.156690692572861 0.180515170840855 0.171873310993406 0.224075151358456 0.222868217054264 0.18484687976305 0.212855614742142
"e   l  " 0.183120590294609 0.194856226248533 0.167603806228374 0.16065209656377 0.21355076684139 0.219879712862963 0.226384029635728 0.224984045602535 0.233067535634516 0.242446446273867 0.21518398771613 0.23473670546493 0.233803454257485 0.201584649382849 0.225278634100071 0.212465353048392 0.161077284881286 0.161075555173747 0.164622336991607 0.161186331399097 0.272553239814404 0.268686146412282 0.228145104611559 0.244668182310274 0.213679825602728 0.223267251979205 0.210938514127472 0.189455450903973 0.201715117846934 0.195593209349572 0.232399770843017 0.203221273375851 0.201452179346304 0.181955211024978 0.189170783383238 0.227982409698437
"  q u e" 0.172348790865514 0.172248597788759 0.214100346020761 0.256612073705888 0.20060829612373 0.189700144430792 0.144062564313645 0.168738034201902 0.195301962730775 0.197189776302746 0.225997253430509 0.208775042187703 0.189628608061371 0.198350671050504 0.222044969495764 0.1898167621143 0.162151133447161 0.155706370001289 0.195825263610932 0.199871050934881 0.206578050811711 0.209098492974074 0.218413796831919 0.188372848327379 0.2266301180635 0.245917552904631 0.24447232919389 0.28039406733788 0.161803570465455 0.157771318038881 0.175110525007296 0.155658847692141 0.210070454398552 0.201335055986219 0.212952253294274 0.203131246555953
"  i l  " 0.124952873377498 0.12488023339685 0.184904844290657 0.204858378168566 0.223257619879635 0.216646187673802 0.17330834804649 0.144941644763172 0.180195733569278 0.144390328003103 0.250867764573579 0.252044480983082 0.158382985142168 0.172478844391743 0.243602733524479 0.242663474293849 0.132083373602655 0.122417421932048 0.112976113621691 0.104233827638083 0.211985853188981 0.22209943554241 0.179488565713359 0.175381617408249 0.134898879799702 0.138058977069267 0.236900177404699 0.266320233842157 0.218974165363249 0.20315758761171 0.27887972501162 0.297265160523187 0.199297610583242 0.208871662360034 0.246462506350733 0.213936100096163
"  n t  " 0.185274950180428 0.213157639763589 0.190311418685121 0.202701974187844 0.190901443085485 0.172454676755265 0.194971891552301 0.208759234621583 0.24925278116469 0.219818111288307 0.188150823430184 0.168750811301977 0.217641925161346 0.213442569934781 0.161683230215362 0.201680309746444 0.193292741857543 0.183626132898071 0.207660856466538 0.202020202020202 0.130868817529932 0.158178134581424 0.181651078553279 0.176464219984844 0.170512184066824 0.169337964061523 0.200121154428627 0.19919887409332 0.174747856102691 0.168577572699078 0.169705879173738 0.166468489892985 0.227307004503049 0.236864771748493 0.182684927952956 0.169636200581301
"  e n  " 0.206818549038617 0.20992797855505 0.240051903114187 0.189763550303514 0.15530964861192 0.167065468106663 0.207970017655788 0.20659592649079 0.1791167172006 0.160553424421361 0.173012251430054 0.199039418458743 0.203635266611358 0.210208591602436 0.162761118416798 0.183345736133131 0.160003436315411 0.180404621794596 0.159242522057241 0.104233827638083 0.181702159876269 0.170095665269065 0.150294642374439 0.169968604525279 0.244976365716259 0.270725025346765 0.23473670546493 0.250081195193245 0.171511784693382 0.176141950961216 0.202133754175089 0.156739811912226 0.185292913623338 0.191645133505599 0.156741506231826 0.171797171289343
"  r e  " 0.159422631550601 0.16578927537168 0.178416955017301 0.175746924428823 0.1941370607649 0.192933669619953 0.167892462170037 0.157921493547934 0.175879668094565 0.184259299168139 0.184906843715871 0.199039418458743 0.193938349153675 0.18757074327602 0.182163106042641 0.197366292425664 0.166446527710662 0.162149392208238 0.219496449322143 0.219213410702772 0.202251808909895 0.192847314763654 0.206519976212359 0.233842156544333 0.154324318490859 0.18335957892012 0.191467266669551 0.152646963299773 0.161803570465455 0.184786954689374 0.189162604174548 0.19024970273484 0.198220326201711 0.233634797588286 0.19241371109838 0.198809305139869
"  c e  " 0.149728012064415 0.149640969328984 0.195717993079585 0.18437254035171 0.159623805517807 0.181077410593029 0.198221423078173 0.168738034201902 0.154299340720999 0.155165725615275 0.183825517144433 0.214183722037125 0.179931690603687 0.155230959952568 0.192941988056999 0.174717701491571 0.163224982013037 0.152484858897814 0.126963632451044 0.161186331399097 0.188191522728993 0.18959707912157 0.250851489430718 0.237089964274115 0.188858431719583 0.204931294087193 0.228246289645623 0.241420374580492 0.1423871420096 0.164255070834999 0.193486320841395 0.152415955031888 0.233770710792235 0.232558139534884 0.204304446053897 0.208533673326058
"s   e  " 0.202509829266979 0.20885142481887 0.166522491349481 0.19731096423604 0.186587286179598 0.172454676755265 0.165726107819456 0.154676531351743 0.220119339210376 0.203655014870049 0.197882762573125 0.195794210549089 0.176699384784459 0.170322858836846 0.183240994244077 0.168246675510402 0.167520376276537 0.185773806967055 0.143103077254142 0.131098216204599 0.211985853188981 0.175512724672539 0.165432232253879 0.161307783912526 0.183462476527595 0.196302608020364 0.169832547271862 0.166720796795496 0.166118332344534 0.169658198165098 0.147006366672792 0.152415955031888 0.191756619912525 0.156115417743325 0.191332735193333 0.17936056876749
"e   d e" 0.184197770237518 0.193779672512353 0.173010380622837 0.175746924428823 0.156388187838392 0.18538877751191 0.204720486129916 0.183881191117457 0.189906880887383 0.168096202749881 0.193557456287373 0.207693306217818 0.199325525519054 0.206974613270091 0.20264298186992 0.200601805416249 0.158929587749536 0.184699969932563 0.123735743490424 0.0999355254674404 0.177375917974454 0.17117907714976 0.196788668432719 0.155894771029555 0.199650342103559 0.168259378303169 0.146034355934404 0.169968604525279 0.159646189525916 0.153448816174802 0.203214683341801 0.185925845854502 0.190679335530993 0.181955211024978 0.148093698991449 0.150187464208923
"  o n  " 0.147573652178596 0.158253399218422 0.198961937716263 0.194076358264957 0.248064022088483 0.204789928646878 0.198221423078173 0.219575775275551 0.142430160665537 0.163786043705013 0.180581537430119 0.166587339362208 0.15515067932294 0.197272678273056 0.177851553236898 0.147755093236699 0.168594224842413 0.184699969932563 0.12588766946417 0.136471093917902 0.220638336992613 0.176596136553233 0.162188462993999 0.165638194218902 0.188858431719583 0.226503009254266 0.179568171000822 0.189455450903973 0.129442856372364 0.136158808718486 0.174029595840585 0.166468489892985 0.156206235322 0.129198966408269 0.163227361662109 0.190165422307701
"e   d  " 0.134647492863683 0.16578927537168 0.161115916955017 0.167121308505936 0.18766582540607 0.189700144430792 0.184140119799396 0.163329763874918 0.164010488039104 0.163786043705013 0.203289395430314 0.196875946518974 0.203635266611358 0.153074974397672 0.215577640287149 0.232956935322095 0.181480407632916 0.165370903311713 0.121583817516677 0.138620245003224 0.174131236548092 0.192847314763654 0.191382386332919 0.167803399372091 0.166195419913233 0.169337964061523 0.155769979663364 0.160225181335932 0.135914999190982 0.166416321767039 0.206457470841936 0.194573559615177 0.186370198004869 0.171188630490956 0.154579554421732 0.165314259165217
"  n e  " 0.117412613777131 0.104425712409435 0.156790657439446 0.154182884621605 0.190901443085485 0.164909784647222 0.164642930644165 0.15575818541714 0.182353766306635 0.192879617257877 0.178418884287244 0.171996019211631 0.119595315311433 0.139061068290842 0.204798758272792 0.203837318406833 0.136378767866156 0.108457540483656 0.140951151280396 0.156888029228455 0.173049676072638 0.157094722700729 0.162188462993999 0.211107502435856 0.170512184066824 0.170416549819876 0.200121154428627 0.186207643174191 0.161803570465455 0.169658198165098 0.13943986250581 0.147011133931467 0.224075151358456 0.237941429801895 0.155660530326779 0.148026493500881
"  e   l" 0.149728012064415 0.133492663286288 0.137326989619377 0.164964904525214 0.173644815461938 0.143352950052814 0.159227044767713 0.183881191117457 0.171563602619852 0.174561441317185 0.201126742287438 0.177404699061053 0.169157337872927 0.174634829946639 0.157371677409619 0.177953214482156 0.119197190812152 0.147115673725355 0.128039595437917 0.118203309692671 0.199007127483533 0.212348728616158 0.167594745093799 0.167803399372091 0.160799464721245 0.17149513557823 0.144952619964519 0.173216412255061 0.154252737177067 0.167496947233058 0.154572870839774 0.176197167873743 0.160515372848124 0.151808785529716 0.152417602611638 0.173958141997385
"  u n  " 0.11956697366295 0.0968898362561767 0.207612456747405 0.175746924428823 0.175801893914882 0.228502446700726 0.17330834804649 0.191452769575234 0.158615406195712 0.162708503943796 0.256274397430768 0.237981913374584 0.113130703672977 0.134749097181049 0.141203354388083 0.166089666850012 0.166446527710662 0.166444740346205 0.100064557779212 0.123576187405975 0.184946841302631 0.159261546462119 0.181651078553279 0.18079463029122 0.151086745375666 0.152080591927864 0.161178659512786 0.160225181335932 0.126206784963055 0.12211067766023 0.168624950007026 0.161063668792563 0.149742529032814 0.169035314384152 0.153498578516685 0.141543581376754
"  e   d" 0.150805192007325 0.150717523065164 0.149221453287197 0.152026480640883 0.14236717789426 0.162754101187782 0.158143867592422 0.152513223220949 0.147825242508929 0.148700487047972 0.171930924858617 0.163342131452555 0.15515067932294 0.162776909394707 0.183240994244077 0.195209283765274 0.141748010695532 0.157854044070272 0.104368409726705 0.102084676552762 0.174131236548092 0.163595193984897 0.158944693734119 0.14939915556999 0.15864108264445 0.154237763444571 0.137380468175328 0.150481758146584 0.132678927781673 0.128594430456348 0.18375795834099 0.154577883472057 0.172365501044966 0.156115417743325 0.145931747181355 0.131819213190565
"  e n t" 0.164808531265148 0.145334754384265 0.143814878892734 0.171434116467379 0.150995491706033 0.148742158701416 0.168975639345328 0.171982996398092 0.165089504407782 0.186414378690574 0.1200272494296 0.138462204145212 0.148686067684484 0.12720314773891 0.134736025179468 0.155304623548064 0.138526464997906 0.140672651518406 0.12911555842479 0.173006662368364 0.11140072897176 0.134343073206141 0.148132129534519 0.154812168452961 0.138136452914895 0.111094333110426 0.165505603392324 0.145068745263614 0.148859284828219 0.143723186980624 0.142682650005945 0.176197167873743 0.206838601253959 0.19702842377261 0.136202964035932 0.163153288457175
"e s   e" 0.174503150751333 0.191626565039994 0.140570934256055 0.154182884621605 0.149916952479562 0.15736489253918 0.15489433606655 0.15575818541714 0.206092126417558 0.209042713676135 0.122189902572476 0.155769979663364 0.158382985142168 0.137983075513394 0.156293789208183 0.148833597566894 0.194366590423419 0.190069155105021 0.102216483752959 0.103159252095422 0.11680853134903 0.0953402455011322 0.115694436935719 0.123416693731731 0.142453217068485 0.151002006169511 0.135216996235559 0.0952690267402836 0.134836308721212 0.128594430456348 0.109173845837882 0.112420278888769 0.158360804085062 0.132428940568475 0.151336626706591 0.170716685935322
"e   l e" 0.158345451607691 0.130263002077749 0.142733564013841 0.152026480640883 0.16825211932958 0.13149669102589 0.160310221943003 0.178472920790473 0.141351144296859 0.160553424421361 0.143816434001233 0.131971788325905 0.135756844407572 0.134749097181049 0.176773665035463 0.146676588906504 0.11060640228515 0.164297066277222 0.106520335700452 0.120352460777993 0.152500027039012 0.17117907714976 0.134075796075039 0.135325322074267 0.124106969415726 0.13913756282762 0.13305352429579 0.141820937533831 0.139151070600291 0.137239434184506 0.156734729173197 0.168630418333153 0.144356107125159 0.156115417743325 0.151336626706591 0.150187464208923
"s   s  " 0.173425970808424 0.193779672512353 0.117863321799308 0.12291502690114 0.152074030932505 0.142275108323094 0.163559753468875 0.157921493547934 0.175879668094565 0.228438429378044 0.118945922858162 0.155769979663364 0.147608632411408 0.148763003287878 0.120723478560804 0.138048554264945 0.162151133447161 0.18255229586358 0.107596298687325 0.103159252095422 0.126542575628116 0.127842601921973 0.140563334594799 0.121251488578543 0.121948587338931 0.135901805552559 0.128726580416252 0.136407924650861 0.128364165902594 0.128594430456348 0.117821279171576 0.107015457788347 0.133583263309849 0.128122308354866 0.19241371109838 0.17936056876749
"s   d  " 0.197123929552432 0.163636167899321 0.153546712802768 0.136931652775831 0.145602795573675 0.135808057944771 0.13539714691132 0.138451720370791 0.162931471670425 0.169173742511099 0.128677862001103 0.128726580416252 0.142221456046028 0.186492750498572 0.134736025179468 0.161775649529233 0.131009525036779 0.16966625144968 0.104368409726705 0.102084676552762 0.112482289447214 0.122425542518499 0.118938206195599 0.126664501461513 0.16295784679804 0.145609077377742 0.124399636536714 0.136407924650861 0.1423871420096 0.113465673932072 0.109173845837882 0.108096422008432 0.11419214444229 0.136735572782084 0.156741506231826 0.154509405625007
"d e s  " 0.185274950180428 0.185167242622916 0.116782006920415 0.12291502690114 0.147759874026618 0.15952057599862 0.19172236002643 0.187126153313647 0.190985897256061 0.175638981078402 0.108132657143784 0.129808316386136 0.115285574219129 0.114267234409529 0.150904348201005 0.14559808457631 0.163224982013037 0.160001718139255 0.100064557779212 0.0967117988394584 0.113563849922668 0.10400754054669 0.0854192571768395 0.0952690267402836 0.131661306684509 0.151002006169511 0.10168318116914 0.105012449929631 0.119734642144437 0.133997557786447 0.108092916671171 0.11782509998919 0.159438088466593 0.142118863049096 0.151336626706591 0.14694600814686
"  d e s" 0.183120590294609 0.184090688886736 0.115700692041522 0.118602218939696 0.147759874026618 0.168143309836384 0.186306474149977 0.184962845182854 0.199618028205488 0.183181759406922 0.112457963429535 0.129808316386136 0.113130703672977 0.108877270522288 0.153060124603876 0.146676588906504 0.160003436315411 0.155706370001289 0.0925328168710996 0.0934880722114765 0.112482289447214 0.105090952427384 0.0897442828566795 0.0963516293168778 0.131661306684509 0.148844834652803 0.104928389078794 0.106095052506225 0.116498570735128 0.127513804990328 0.103769200004324 0.111339314668684 0.163747225992718 0.151808785529716 0.147012723086402 0.145865522792839
"  s   d" 0.166962891150967 0.146411308120445 0.12651384083045 0.103507391074644 0.14236717789426 0.147664316971696 0.144062564313645 0.138451720370791 0.137035078822146 0.15732080513771 0.113539290000973 0.109255332958332 0.143298891319104 0.15415296717512 0.139047577985211 0.142362571585725 0.128861827905029 0.135303466345947 0.0989885947923391 0.105308403180744 0.109237608020852 0.109424599950163 0.141644591014759 0.106095052506225 0.124106969415726 0.135901805552559 0.130890052356021 0.120168886001949 0.138072380130522 0.128594430456348 0.112416633338017 0.135120527510539 0.108805722534635 0.118432385874246 0.148093698991449 0.142624066730775
"  s e  " 0.14111057252114 0.138875431967187 0.123269896193772 0.0830215532577873 0.172566276235467 0.13149669102589 0.0953195914255695 0.088695633362538 0.181274749937957 0.155165725615275 0.164361638858552 0.146034355934404 0.167002467326775 0.146607017732981 0.126112919567982 0.132656032613971 0.1127540994169 0.108457540483656 0.0774693350548741 0.0902643455834945 0.180620599400815 0.160344958342813 0.118938206195599 0.0995994370466602 0.106839912801364 0.106779990077011 0.136298732205443 0.129912309191296 0.113262499325818 0.133997557786447 0.13295428750554 0.103772565128094 0.126042272639131 0.139965546942291 0.138364915846026 0.14694600814686
"e   t  " 0.132493132977864 0.131339555813928 0.137326989619377 0.127227834862583 0.108932461873638 0.101317122593718 0.106151363178475 0.111410368735871 0.111138685973866 0.117451833972674 0.145979087144108 0.129808316386136 0.146531197138332 0.148763003287878 0.148748571798133 0.158540136538648 0.113827947982775 0.102014518276706 0.110824187647945 0.107457554266065 0.130868817529932 0.13867672072892 0.115694436935719 0.140738334957237 0.121948587338931 0.133744634035852 0.148197827874172 0.142903540110425 0.119734642144437 0.142642561514605 0.13295428750554 0.130796670630202 0.121733135113007 0.117355727820844 0.11458344593499 0.125336301066439
"e   q u" 0.108795174233856 0.0979663899923565 0.121107266435986 0.123993228891501 0.119717854138355 0.125029640647567 0.112650426230218 0.10492044434349 0.132719013347432 0.112064135166588 0.1600363325728 0.139543940115097 0.116363009492205 0.111033256077184 0.153060124603876 0.128342015293191 0.105237159455774 0.08483312572484 0.114052076608565 0.122501611863314 0.146010664186288 0.121342130637805 0.145969616694599 0.14939915556999 0.120869396300533 0.136980391310913 0.169832547271862 0.16239038648912 0.104632975567661 0.110223797534013 0.110254775004594 0.126472813749865 0.141124253980566 0.11520241171404 0.131879060415743 0.111289991464166
"s   d e" 0.176657510637152 0.150717523065164 0.116782006920415 0.0991945831132004 0.146681334800147 0.145508633512255 0.140813032787773 0.151431569155553 0.144588193402894 0.156243265376492 0.116783269715287 0.126563108476483 0.136834279680648 0.129359133293807 0.132580248776597 0.140205562925335 0.125640282207403 0.119195910828573 0.0828491499892404 0.0805931656995487 0.0951773218399507 0.117008483115026 0.102719359896199 0.0876908087041247 0.132740497722907 0.124037362210669 0.102764917139025 0.0963516293168778 0.125128094493285 0.103740044737894 0.117821279171576 0.126472813749865 0.108805722534635 0.117355727820844 0.141607843561167 0.124255815712418
"  n s  " 0.145419292292778 0.148564415592804 0.136245674740484 0.118602218939696 0.115403697232468 0.108862014701761 0.131064438210158 0.142778336632378 0.120849833291971 0.129304771346063 0.117864596286725 0.103846653108909 0.134679409134496 0.132593111626152 0.109944596546446 0.146676588906504 0.123492585075653 0.123491258966539 0.0925328168710996 0.0816677412422093 0.108156047545398 0.130009425683362 0.137319565334919 0.129912309191296 0.116552632146943 0.121880190693962 0.121154428627061 0.119086283425355 0.129442856372364 0.123191303126249 0.0680985375028374 0.109177386228516 0.115269428823821 0.129198966408269 0.135121988130885 0.143704552084796
"s   l  " 0.11956697366295 0.110885034826513 0.133001730103806 0.119680420930057 0.132660324856015 0.140119424863653 0.142979387138354 0.143859990697775 0.116533767817258 0.13038231110728 0.116783269715287 0.102764917139025 0.102356350942217 0.117501212741875 0.0991657145320887 0.118635476321437 0.142821859261407 0.148189510759847 0.0989885947923391 0.08274231678487 0.135195059431748 0.137593308848225 0.116775693355679 0.122334091155137 0.0895728561870022 0.100308475526889 0.110337068928216 0.121251488578543 0.112183808856049 0.133997557786447 0.110254775004594 0.1102583504486 0.143278822743628 0.125968992248062 0.145931747181355 0.159911832395112
